Name,Handle,2nd handle,Handle run by self? (yes/no),M/F,State,Party,Age,Year of birth,Education,Marital Status,Term #,Race (black/white/latinx/PoC),President's Office / Congress / Senate,Campaign Finance / Income,Number of followers on X,Updated (yes/no)
Name,Handle,2nd handle,Handle run by self? (yes/no),M/F,State,Party,Age,Year of birth,Education,Marital Status,Term #,Race (black/white/latinx/PoC),President's Office / Congress / Senate,Campaign Finance / Income,Number of followers on X,Updated (yes/no)
Catherine Cortez Masto,@SenCortezMasto,,,F,Nevada,Democratic,60,1964,"JD (Gonzaga University School of Law), BS in Finance (University of Nevada, Reno)",married,3,latinx,S,"$65,688,545",,yes
Jacky Rosen,@SenJackyRosen,,,F,Nevada,Democratic,67,1957,"BA in Psychology (University of Minnesota), AS in omputing and Information Technology (Clark Community College)",married,2,white,S,"$65,688,545",,yes
Jeanne Shaheen,@SenatorShaheen,,,F,New Hampshire,Democratic,77,1947,"MA in Political Science (University of Mississippi), BA in English (Shippensburg University of Pennsylvania)",married,5,white,S,"$20,017,665",,yes
Maggie Hassan,@SenatorHassan,,,F,New Hampshire,Democratic,66,1958,"JD (Northeastern University School of Law), BA in History (Brown University)",married,3,white,S,"$43,065,875",,yes
Cory Booker,@SenBooker,,,M,New Jersey,Democratic,55,1969,"JD (Yale Law School), MA (Oxford), MA in Sociology (Stanford), BA in Political Science (Stanford)",married,3,black,S,"$21,523,390",,yes
Andy Kim,@AndyKimNJ,,,M,New Jersey,Democratic,42,1982,"MPhil in International Relations, DPhil (Oxford), BA in Political Science (University of Chicago)",married,1,PoC,S,"$12,170,781",,yes
Martin Heinrich,@MartinHeinrich,,,M,New Mexico,Democratic,53,1971,BS in Mechanical Engineering (University of Missouri),married,3,white,S,"$12,970,083",,yes
Ben Ray Lujan,@SenatorLujan,,,M,New Mexico,Democratic,52,1972,BBA (New Mexico Highlands University),unmarried,2,latinx,S,"$11,637,120",,yes
Chuck Schumer,@SenSchumer,,,M,New York,Democratic,74,1950,"JD (Harvard Law School), BA in Social Studies (Harvard College)",married,5,white,S,"$42,963,220",,yes
Kirsten Gillibrand,@gillibrandny,,,F,New York,Democratic,58,1966,"JD (UCLA School of Law), BA in Asian Studies (Dartmouth University)",married,4,white,S,"$14,857,727",,yes
Thom Tillis,@SenThomTillis,,,M,North Carolina,Republican,64,1960,BS in Technology (University of Maryland University College),married,3,white,S,"$25,523,706",,yes
Ted Budd,@SenTedBuddNC,,,M,North Carolina,Republican,53,1971,"MBA (Wake Forest University School of Business), MA in Theology (Dallas Theological Seminary), BS in Business Administration (Appalachian State University)",married,1,white,S,"$21,443,579",,yes
John Hoeven,@SenJohnHoeven,,,M,North Dakota,Republican,67,1957,"MBA (Northwestern University), BA (Dartmouth)",married,3,white,S,"$4,567,097",,yes
Kevin Cramer,@SenKevinCramer,,,M,North Dakota,Republican,63,1961,"MA in Management (University of Mary), BA (Concordia College)",married,3,white,S,"$17,404,445",,yes
Bernie Moreno,@berniemoreno,,,M,Ohio,Republican,72,1967,BBA (University of Michigan),married,1,white,S,"$26,674,445",,yes
Jon Husted,@SenJonHusted,,,M,Ohio,Republican,40,1967,"MA, BA (University of Dayton)",married,1,white,S,"$1,828,549",,yes
James Lankford,@SenatorLankford,,,M,Oklahoma,Republican,56,1968,"MA of Divinity (Southwestern Baptist Theological Seminary), BS in Secondary Education (University of Texas at Austin)",married,3,white,S,"$7,449,710",,yes
Markwayne Mullin,@SenMullin,,,M,Oklahoma,Republican,47,1977,AAS in Constructive Technology (Oklahoma State University Institute of Technology),married,1,PoC,S,"$6,423,041",,yes
Ron Wyden,@RonWyden,,,M,Oregon,Democratic,75,1949,"JD (University of Oregon School of Law), BA in Political Science (Stanford University)",married,5,white,S,"$13,797,023",,yes
Jeff Merkley,@SenJeffMerkley,,,M,Oregon,Democratic,68,1956,"MPA (Princeton University), BA in International Relations (Stanford University)",married,4,white,S,"$9,661,682",,yes
David McCormick,@DaveMcCormickPA,,,M,Pennsylvania,Republican,64,1965,"PhD in International Relations (Princeton University), BS in Mechanical Engineering (West Point)",married,1,white,S,"$825,478",,yes
John Fetterman,@SenFettermanPA,,,M,Pennsylvania,Democratic,55,1969,"MBA (University of Connecticut), BA in Finance (Albright College)",married,2,white,S,"$82,199,021",,yes
Jack Reed,@SenJackReed,,,M,Rhode Island,Democratic,75,1949,"JD (Harvard Law School), MPP (Harvard University), BS (West Point)",married,4,white,S,"$4,011,225",,yes
Sheldon Whitehouse,@SenWhitehouse,,,M,Rhode Island,Democratic,69,1955,"JD (University of Virginia School of Law), BA (Yale University)",married,4,white,S,"$6,714,499",,yes
Lindsey Graham,@LindseyGrahamSC,,,F,South Carolina,Republican,69,1955,"JD (University of South Carolina School of Law), BA in Psychology (University of South Carolina)",unmarried,5,white,S,"$160,035,712",,yes
Tim Scott,@SenatorTimScott,,,M,South Carolina,Republican,59,1965,BS in Political Science (Charleston Southern University),married,3,black,S,"$84,573,262",,yes
John Thune,@johnthune,,,M,South Dakota,Republican,63,1961,"MBA (University of South Dakota), BA in Business (Biola University)",married,4,white,S,"$14,676,497",,yes
Mike Rounds,@SenatorRounds,,,M,South Dakota,Republican,70,1954,BS in Political Science (South Dakota State University),widowed,3,white,S,"$4,905,720",,yes
Marsha Blackburn,@MarshaBlackburn,,,F,Tenessee,Republican,72,1952,BS in Home Economics (Mississippi State University),married,2,white,S,"$18,651,418",,yes
Bill Hagerty,@SenatorHagerty,,,M,Tenessee,Republican,65,1959,"JD (Vanderbilt Law School), BA in Economics and Business Administration (Vanderbilt University)",married,1,white,S,"$17,165,599",,yes
John Cornyn,@JohnCornyn,,,M,Texas,Republican,72,1952,"LLM (University of Virginia School of Law), JD (St. Mary's University School of Law), BA in Journalism (Trinity University)",married,5,white,S,"$34,095,779",,yes
Ted Cruz,@SenTedCruz,,,M,Texas,Republican,53,1970,"JD (Harvard Law School), BA in Public Policy (Princeton University)",married,3,latinx,S,"$105,557,320",,yes
John Curtis,@SenJohnCurtis,@CurtisUT,,M,Utah,Republican,53,1960,BS in Business Management (Brigham Young University),married,1,white,S,"$5,632,554",,yes
Mike Lee,@SenMikeLee,@BasedMikeLee,,M,Utah,Republican,77,1971,"JD (Brigham Young University), BA in Political Science (Brigham Young University)",married,3,white,S,"$16,528,335",,yes
Bernie Sanders,@SenSanders,,,M,Vermont,Independent,83,1941,BA (University of Chicago),married,6,white,S,"$35,728,404",,yes
Peter Welch,@WelchForVT,,,M,Vermont,Democratic,77,1947,"JD (University of California, Berkeley), BA in History (College of the Holy Cross)",married,1,white,S,"$5,678,073",,yes
Mark Warner,@MarkWarner,,,M,Virginia,Democratic,69,1954,"JD (Harvard Law School), BA in Political Science (George Washington University)",married,4,white,S,"$20,277,319",,yes
Tim Kaine,@timkaine,,,M,Virginia,Democratic,66,1958,"JD (Harvard Law School), BA in Economics (University of Missouri)",married,3,white,S,"$21,401,882",,yes
Patty Murray,@PattyMurray,,,F,Washington,Democratic,74,1950,BA in Physical Education (Washington State University),married,6,white,S,"$20,331,359",,yes
Maria Cantwell,@SenatorCantwell,,,F,Washington,Democratic,66,1958,BA in Public Administration (Miami University - Ohio) ,unmarried,4,white,S,"$68,758,355",,yes
Jim Justice,@JimJustice_WV,,,M,West Virginia,Independent,77,1951,"MBA, BA (Marshall University)",married,1,white,S,"$4,560,213",,yes
Shelley Moore Capito,@SenCapito,,,F,West Virginia,Republican,71,1953,"MEd (University of Virginia), BA in Zoology (Duke University)",married,3,white,S,"$6,809,822",,yes
Ron Johnson,@SenRonJohnson,,,M,Wisconsin,Republican,69,1955,BA in Business and Accounting (University of Minnesota),married,3,white,S,"$40,097,439",,yes
Tammy Baldwin,@SenatorBaldwin,,,F,Wisconsin,Democratic,62,1962,"JD (University of Wisconsin Law School), BA (Smith College)",unmarried,3,white,S,"$58,515,036",,yes
John Barrasso,@SenJohnBarrasso,,,M,Wyoming,Republican,72,1952,"MD, BS in Biology (Georgetown University)",widowed,3,white,S,"$10,586,702",,yes
Cynthia Lummis,@SenLummis,,,F,Wyoming,Republican,70,1954,"JD, BS in Biology, BS in Animal Science (University of Wyoming)",widowed,1,white,S,"$3,581,540",,yes
